4544.50625167,5029.64300625,0
4712.74868726,5104.41742207,0
4806.21670703,5153.02079235,0
4918.37833076,5220.31776659,0
4966.98170105,5253.96625371,0
5060.44972082,5317.52450715,0
5082.88204556,5339.95683190,0
5138.96285743,5399.77636455,0
5161.39518217,5437.16357246,0
4910.90088918,6203.60133461,1
4899.68472681,6042.83634060,1
4899.68472681,5968.06192478,1
4918.37833076,5852.16158026,1
4952.02681788,5706.35146941,1
4996.89146737,5579.23496252,1
5041.75611686,5508.19926749,1
5153.91774059,5455.85717642,1
5318.42145539,5429.68613088,1
5486.66389099,5410.99252693,1
5610.04167709,5396.03764376,1
5725.94202161,5388.56020218,1
5778.28411268,5399.77636455,1
