5694.72369385,5652.41467285,0
5222.13769531,5618.31048584,0
5085.72113037,5983.71209717,0
5105.20910645,6198.08087158,0
5295.21789551,6305.26531982,0
5631.38732910,6300.39331055,0
5928.58068848,6071.40850830,0
5909.09252930,5696.26287842,0
5694.72369385,5652.41467285,0
4764.16772461,5900.88769531,1
4788.52789307,5218.80468750,1
4540.05468750,5335.73327637,1
4384.15008545,5462.40588379,1
4374.40612793,5934.99188232,1
4369.53411865,6159.10467529,1
4530.31072998,6324.75347900,1
4769.03967285,6188.33691406,1
4764.16772461,5900.88769531,1
